index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
97,97,0.8532037242426271,0.5000000000000001,-0.14847021566129326,0.16666666666666666,0.5517241379310345,0.0
98,98,0.8532037242426272,-0.4999999999999998,-0.1484702156612933,0.3333333333333333,0.5517241379310345,0.0
99,99,1.2065156580261387e-16,-1.0,-2.0995177922468605e-17,0.5,0.5517241379310345,0.0
100,100,-0.853203724242627,-0.5000000000000004,0.14847021566129326,0.6666666666666666,0.5517241379310345,0.0
101,101,-0.8532037242426276,0.49999999999999933,0.14847021566129334,0.8333333333333334,0.5517241379310345,0.0
102,102,0.0,1.0,0.0,0.0,0.5862068965517241,0.0
103,103,0.8640921555040493,0.5000000000000001,-0.05783378594183328,0.16666666666666666,0.5862068965517241,0.0
104,104,0.8640921555040494,-0.4999999999999998,-0.057833785941833284,0.3333333333333333,0.5862068965517241,0.0
105,105,1.221912992138702e-16,-1.0,-8.178277510883333e-18,0.5,0.5862068965517241,0.0
106,106,-0.8640921555040492,-0.5000000000000004,0.05783378594183327,0.6666666666666666,0.5862068965517241,0.0
107,107,-0.8640921555040497,0.49999999999999933,0.05783378594183331,0.8333333333333334,0.5862068965517241,0.0
108,108,0.0,1.0,0.0,0.0,0.6206896551724138,0.0
109,109,0.8659314907488228,0.5000000000000001,-0.012753561444609336,0.16666666666666666,0.6206896551724138,0.0
110,110,0.8659314907488229,-0.4999999999999998,-0.012753561444609337,0.3333333333333333,0.6206896551724138,0.0
111,111,1.2245139966937964e-16,-1.0,-1.803481529827909e-18,0.5,0.6206896551724138,0.0
112,112,-0.8659314907488227,-0.5000000000000004,0.012753561444609334,0.6666666666666666,0.6206896551724138,0.0
113,113,-0.8659314907488233,0.49999999999999933,0.012753561444609342,0.8333333333333334,0.6206896551724138,0.0
114,114,0.0,1.0,0.0,0.0,0.6551724137931034,0.0
115,115,0.8658949691197311,0.5000000000000001,0.015030051667908023,0.16666666666666666,0.6551724137931034,0.0
116,116,0.8658949691197312,-0.4999999999999998,0.015030051667908025,0.3333333333333333,0.6551724137931034,0.0
117,117,1.224462351446473e-16,-1.0,2.125400084765232e-18,0.5,0.6551724137931034,0.0
118,118,-0.865894969119731,-0.5000000000000004,-0.015030051667908021,0.6666666666666666,0.6551724137931034,0.0
119,119,-0.8658949691197315,0.49999999999999933,-0.015030051667908032,0.8333333333333334,0.6551724137931034,0.0
120,120,0.0,1.0,0.0,0.0,0.6896551724137931,0.0
121,121,0.8653603391199861,0.5000000000000001,0.033933515558259304,0.16666666666666666,0.6896551724137931,0.0
122,122,0.8653603391199862,-0.4999999999999998,0.03393351555825931,0.3333333333333333,0.6896551724137931,0.0
123,123,1.2237063309936608e-16,-1.0,4.798539515196828e-18,0.5,0.6896551724137931,0.0
124,124,-0.865360339119986,-0.5000000000000004,-0.033933515558259304,0.6666666666666666,0.6896551724137931,0.0
