index,prim:vindex,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
178,44:2,51,-6.70907611800233e-18,-1.0,-1.2228076759761296e-16,0.5,0.27586206896551724,0.0
179,44:3,50,-0.04744413130511435,-0.4999999999999998,-0.8647248431753902,0.3333333333333333,0.27586206896551724,0.0
180,45:0,45,-8.095936624803143e-18,-1.0,-1.221967824322136e-16,0.5,0.2413793103448276,0.0
181,45:1,46,0.05725150132585082,-0.5000000000000004,0.8641309308177412,0.6666666666666666,0.2413793103448276,0.0
182,45:2,52,0.04744413130511434,-0.5000000000000004,0.86472484317539,0.6666666666666666,0.27586206896551724,0.0
183,45:3,51,-6.70907611800233e-18,-1.0,-1.2228076759761296e-16,0.5,0.27586206896551724,0.0
184,46:0,46,0.05725150132585082,-0.5000000000000004,0.8641309308177412,0.6666666666666666,0.2413793103448276,0.0
185,46:1,47,0.05725150132585086,0.49999999999999933,0.8641309308177417,0.8333333333333334,0.2413793103448276,0.0
186,46:2,53,0.047444131305114365,0.49999999999999933,0.8647248431753906,0.8333333333333334,0.27586206896551724,0.0
187,46:3,52,0.04744413130511434,-0.5000000000000004,0.86472484317539,0.6666666666666666,0.27586206896551724,0.0
188,47:0,47,0.05725150132585086,0.49999999999999933,0.8641309308177417,0.8333333333333334,0.2413793103448276,0.0
189,47:1,42,0.0,1.0,0.0,1.0,0.2413793103448276,0.0
190,47:2,48,0.0,1.0,0.0,1.0,0.27586206896551724,0.0
191,47:3,53,0.047444131305114365,0.49999999999999933,0.8647248431753906,0.8333333333333334,0.27586206896551724,0.0
192,48:0,48,0.0,1.0,0.0,0.0,0.27586206896551724,0.0
193,48:1,49,-0.047444131305114344,0.5000000000000001,-0.8647248431753901,0.16666666666666666,0.27586206896551724,0.0
194,48:2,55,-0.033933616162944054,0.5000000000000001,-0.8653603351749525,0.16666666666666666,0.3103448275862069,0.0
195,48:3,54,0.0,1.0,0.0,0.0,0.3103448275862069,0.0
196,49:0,49,-0.047444131305114344,0.5000000000000001,-0.8647248431753901,0.16666666666666666,0.27586206896551724,0.0
197,49:1,50,-0.04744413130511435,-0.4999999999999998,-0.8647248431753902,0.3333333333333333,0.27586206896551724,0.0
198,49:2,56,-0.033933616162944054,-0.4999999999999998,-0.8653603351749526,0.3333333333333333,0.3103448275862069,0.0
199,49:3,55,-0.033933616162944054,0.5000000000000001,-0.8653603351749525,0.16666666666666666,0.3103448275862069,0.0
200,50:0,50,-0.04744413130511435,-0.4999999999999998,-0.8647248431753902,0.3333333333333333,0.27586206896551724,0.0
201,50:1,51,-6.70907611800233e-18,-1.0,-1.2228076759761296e-16,0.5,0.27586206896551724,0.0
202,50:2,57,-4.7985537417085e-18,-1.0,-1.2237063254149876e-16,0.5,0.3103448275862069,0.0
203,50:3,56,-0.033933616162944054,-0.4999999999999998,-0.8653603351749526,0.3333333333333333,0.3103448275862069,0.0
204,51:0,51,-6.70907611800233e-18,-1.0,-1.2228076759761296e-16,0.5,0.27586206896551724,0.0
205,51:1,52,0.04744413130511434,-0.5000000000000004,0.86472484317539,0.6666666666666666,0.27586206896551724,0.0
206,51:2,58,0.03393361616294405,-0.5000000000000004,0.8653603351749524,0.6666666666666666,0.3103448275862069,0.0
207,51:3,57,-4.7985537417085e-18,-1.0,-1.2237063254149876e-16,0.5,0.3103448275862069,0.0
208,52:0,52,0.04744413130511434,-0.5000000000000004,0.86472484317539,0.6666666666666666,0.27586206896551724,0.0
209,52:1,53,0.047444131305114365,0.49999999999999933,0.8647248431753906,0.8333333333333334,0.27586206896551724,0.0
